,time,timedel,bkg_counts,counts,rate
0,162.0,162.0,9,11,0.06790123456790123
1,322.0,160.0,7,9,0.05625
2,482.0,160.0,8,8,0.05
3,642.0,160.0,6,6,0.0375
4,802.0,160.0,8,8,0.05
5,962.0,160.0,7,15,0.09375
6,1122.0,160.0,9,15,0.09375
7,1282.0,160.0,13,20,0.125
8,1442.0,160.0,9,9,0.05625
9,1602.0,160.0,9,9,0.05625
10,1762.0,160.0,7,7,0.04375
11,1922.0,160.0,10,19,0.11875
12,2082.0,160.0,9,33,0.20625
13,2242.0,160.0,9,13,0.08125
14,2402.0,160.0,12,18,0.1125
15,2562.0,160.0,7,21,0.13125
16,2722.0,160.0,8,10,0.0625
17,2882.0,160.0,12,12,0.075
18,3042.0,160.0,6,6,0.0375
19,3202.0,160.0,5,6,0.0375
20,3362.0,160.0,4,4,0.025
21,3522.0,160.0,5,5,0.03125
22,3682.0,160.0,2,14,0.0875
23,3842.0,160.0,5,5,0.03125
24,4002.0,160.0,9,9,0.05625
25,4162.0,160.0,4,4,0.025
26,4322.0,160.0,11,13,0.08125
27,4482.0,160.0,2,5,0.03125
28,4642.0,160.0,6,6,0.0375
29,4802.0,160.0,7,7,0.04375
30,4962.0,160.0,4,4,0.025
31,5122.0,160.0,12,12,0.075
32,5282.0,160.0,8,12,0.075
