,time,timedel,bkg_counts,counts,rate
0,402.0,402.0,52,52,0.12935323383084577
1,802.0,400.0,38,38,0.095
2,1202.0,400.0,39,41,0.1025
3,1602.0,400.0,38,50,0.125
4,2002.0,400.0,45,66,0.165
5,2402.0,400.0,47,53,0.1325
6,2802.0,400.0,44,70,0.175
7,3202.0,400.0,40,48,0.12
8,3602.0,400.0,50,63,0.1575
9,4002.0,400.0,36,43,0.1075
10,4402.0,400.0,49,57,0.1425
11,4802.0,400.0,52,56,0.14
12,5202.0,400.0,40,52,0.13
13,5602.0,400.0,38,45,0.1125
14,6002.0,400.0,40,56,0.14
15,6402.0,400.0,46,51,0.1275
16,6802.0,400.0,34,36,0.09
17,7202.0,400.0,35,43,0.1075
18,7602.0,400.0,44,44,0.11
19,8002.0,400.0,37,50,0.125
20,8402.0,400.0,39,43,0.1075
21,8802.0,400.0,47,48,0.12
22,9202.0,400.0,45,52,0.13
23,9602.0,400.0,52,58,0.145
