,time,timedel,bkg_counts,counts,rate
0,162.0,162.0,8,8,0.04938271604938271
1,322.0,160.0,7,10,0.0625
2,482.0,160.0,14,14,0.0875
3,642.0,160.0,12,15,0.09375
4,802.0,160.0,13,13,0.08125
5,962.0,160.0,13,16,0.1
6,1122.0,160.0,13,13,0.08125
7,1282.0,160.0,9,16,0.1
8,1442.0,160.0,8,10,0.0625
9,1602.0,160.0,13,19,0.11875
10,1762.0,160.0,9,22,0.1375
11,1922.0,160.0,11,16,0.1
12,2082.0,160.0,13,26,0.1625
13,2242.0,160.0,6,13,0.08125
14,2402.0,160.0,8,8,0.05
15,2562.0,160.0,11,11,0.06875
16,2722.0,160.0,11,15,0.09375
17,2882.0,160.0,11,15,0.09375
18,3042.0,160.0,11,11,0.06875
19,3202.0,160.0,16,30,0.1875
20,3362.0,160.0,9,9,0.05625
21,3522.0,160.0,14,14,0.0875
22,3682.0,160.0,18,21,0.13125
23,3842.0,160.0,15,15,0.09375
24,4002.0,160.0,13,13,0.08125
25,4162.0,160.0,12,17,0.10625
26,4322.0,160.0,13,13,0.08125
27,4482.0,160.0,14,17,0.10625
28,4642.0,160.0,21,21,0.13125
29,4802.0,160.0,10,10,0.0625
