,time,timedel,bkg_counts,counts,rate
0,26.0,26.0,3,4,0.15384615384615385
1,50.0,24.0,1,1,0.041666666666666664
2,74.0,24.0,1,2,0.08333333333333333
3,98.0,24.0,0,1,0.041666666666666664
4,122.0,24.0,0,2,0.08333333333333333
5,146.0,24.0,0,0,0.0
6,170.0,24.0,0,3,0.125
7,194.0,24.0,0,0,0.0
8,218.0,24.0,1,3,0.125
9,242.0,24.0,0,1,0.041666666666666664
10,266.0,24.0,1,4,0.16666666666666666
11,290.0,24.0,0,0,0.0
12,314.0,24.0,1,8,0.3333333333333333
13,338.0,24.0,4,11,0.4583333333333333
14,362.0,24.0,1,12,0.5
15,386.0,24.0,2,5,0.20833333333333334
16,410.0,24.0,0,1,0.041666666666666664
17,434.0,24.0,1,2,0.08333333333333333
18,458.0,24.0,2,2,0.08333333333333333
19,482.0,24.0,2,2,0.08333333333333333
20,506.0,24.0,0,0,0.0
21,530.0,24.0,1,3,0.125
22,554.0,24.0,1,2,0.08333333333333333
23,578.0,24.0,0,2,0.08333333333333333
24,602.0,24.0,1,2,0.08333333333333333
25,626.0,24.0,2,2,0.08333333333333333
26,650.0,24.0,0,0,0.0
27,674.0,24.0,0,0,0.0
28,698.0,24.0,2,2,0.08333333333333333
29,722.0,24.0,1,1,0.041666666666666664
30,746.0,24.0,0,3,0.125
31,770.0,24.0,1,1,0.041666666666666664
