,time,timedel,bkg_counts,counts,rate
0,50.0,50.0,4,4,0.08
1,98.0,48.0,1,3,0.0625
2,146.0,48.0,2,3,0.0625
3,194.0,48.0,2,2,0.041666666666666664
4,242.0,48.0,4,7,0.14583333333333334
5,290.0,48.0,0,5,0.10416666666666667
6,338.0,48.0,0,4,0.08333333333333333
7,386.0,48.0,4,8,0.16666666666666666
8,434.0,48.0,3,9,0.1875
9,482.0,48.0,2,6,0.125
10,530.0,48.0,2,5,0.10416666666666667
11,578.0,48.0,1,4,0.08333333333333333
12,626.0,48.0,2,5,0.10416666666666667
13,674.0,48.0,4,7,0.14583333333333334
14,722.0,48.0,0,1,0.020833333333333332
15,770.0,48.0,0,1,0.020833333333333332
16,818.0,48.0,3,5,0.10416666666666667
17,866.0,48.0,4,5,0.10416666666666667
18,914.0,48.0,3,9,0.1875
