,time,timedel,bkg_counts,counts,rate
0,402.0,402.0,12,13,0.03233830845771144
1,802.0,400.0,11,18,0.045
2,1202.0,400.0,14,25,0.0625
3,1602.0,400.0,19,23,0.0575
4,2002.0,400.0,15,17,0.0425
5,2402.0,400.0,20,27,0.0675
6,2802.0,400.0,16,29,0.0725
7,3202.0,400.0,17,20,0.05
8,3602.0,400.0,12,20,0.05
9,4002.0,400.0,21,35,0.0875
10,4402.0,400.0,11,17,0.0425
11,4802.0,400.0,18,27,0.0675
12,5202.0,400.0,18,26,0.065
13,5602.0,400.0,18,23,0.0575
14,6002.0,400.0,21,31,0.0775
15,6402.0,400.0,18,25,0.0625
16,6802.0,400.0,17,17,0.0425
17,7202.0,400.0,24,28,0.07
18,7602.0,400.0,21,31,0.0775
19,8002.0,400.0,19,24,0.06
20,8402.0,400.0,13,15,0.0375
21,8802.0,400.0,12,14,0.035
22,9202.0,400.0,16,17,0.0425
23,9602.0,400.0,14,16,0.04
