,time,timedel,bkg_counts,counts,rate
0,60.0,60.0,3,5,0.08333333333333333
1,120.0,60.0,5,6,0.1
2,180.0,60.0,0,0,0.0
3,240.0,60.0,3,6,0.1
4,300.0,60.0,3,18,0.3
5,360.0,60.0,1,11,0.18333333333333332
6,420.0,60.0,4,12,0.2
7,480.0,60.0,1,6,0.1
8,540.0,60.0,2,11,0.18333333333333332
9,600.0,60.0,4,10,0.16666666666666666
10,660.0,60.0,5,9,0.15
11,720.0,60.0,3,3,0.05
12,780.0,60.0,3,4,0.06666666666666667
13,840.0,60.0,4,4,0.06666666666666667
14,900.0,60.0,2,2,0.03333333333333333
15,960.0,60.0,5,5,0.08333333333333333
16,1020.0,60.0,4,5,0.08333333333333333
17,1080.0,60.0,3,3,0.05
18,1140.0,60.0,6,6,0.1
19,1200.0,60.0,0,0,0.0
20,1260.0,60.0,4,4,0.06666666666666667
21,1320.0,60.0,3,3,0.05
